DatePulled1,domain,visits1,pageviews1,users1,pageviews_per_session1,avg_session_duration1,exits1
4/5/20,cdc.gov,470433940,970905727,274559595,2.06,99.7,471850952
4/5/20,ncbi.nlm.nih.gov,169349965,461761506,84377350,2.73,231.92,169311884
4/5/20,tools.usps.com,165762339,242106614,57672587,1.46,102.04,167676408
4/5/20,irs.gov,97040266,246870741,47797597,2.54,133.4,93727224
4/5/20,medlineplus.gov,56496086,71616225,43376199,1.27,64.72,56474039
4/5/20,forecast.weather.gov,48234526,72458014,9834905,1.5,89.89,49096358
4/5/20,sa.www4.irs.gov,42229762,149644079,15114126,3.54,128.18,45901567
4/5/20,reg.usps.com,40692495,59728958,14176132,1.47,52.7,36866362
4/5/20,nasa.gov,37315316,106660715,29488680,2.86,149.6,38082948
4/5/20,usps.com,34898178,46568986,18168619,1.33,66.46,30314435
4/5/20,pubmed.ncbi.nlm.nih.gov,26464252,84774193,15849690,3.2,230.44,26889155
4/5/20,informeddelivery.usps.com,22453727,46823527,6816489,2.09,48.33,25329840
4/5/20,ssa.gov,20497569,52906456,11346117,2.58,192.87,20685969
4/5/20,travel.state.gov,18685718,44554704,12556690,2.38,147.56,18208704
4/5/20,fda.gov,17334846,29190045,13624961,1.68,98.48,17126403
4/5/20,weather.gov,16332716,36716042,5694103,2.25,122.95,15452846
4/5/20,usajobs.gov,15428795,133339422,7353631,8.64,404.19,14861589
4/5/20,uscis.gov,14498818,30298401,7147192,2.09,148.51,14202188
4/5/20,nps.gov,12688971,35898304,8754609,2.83,149.73,12690976
4/5/20,wwwnc.cdc.gov,11356138,20754114,9540279,1.83,91.86,10748847
4/5/20,m.usps.com,11281981,25698624,4072657,2.28,177.91,10977333
4/5/20,dol.gov,11107610,22169122,7610176,2,121.6,11101597
4/5/20,epa.gov,11019423,18236763,8712519,1.65,97.26,10790937
4/5/20,secure.login.gov,11013410,31027952,4265066,2.82,925.71,10879124
4/5/20,usa.gov,10476268,15240395,9047231,1.45,72.73,10476268
4/5/20,earthquake.usgs.gov,9626462,17936124,4349245,1.86,166.8,9714649
4/5/20,va.gov,9584372,23952914,4543658,2.5,146.86,8932988
4/5/20,egov.uscis.gov,8512093,29685098,2463236,3.49,151.3,8728553
4/5/20,justice.gov,7856700,11037461,5828389,1.4,63.78,7840666
4/5/20,census.gov,7457852,15753485,6117002,2.11,106.22,7463865
4/5/20,myhealth.va.gov,7257426,43281999,3068522,5.96,257.58,7329580
4/5/20,search.cdc.gov,6850561,10420149,4605790,1.52,53.4,6002759
4/5/20,store.usps.com,6740327,32475028,3495430,4.82,113.5,7383695
4/5/20,cms.gov,6640114,17777788,4002508,2.68,167.62,6628088
4/5/20,studentaid.gov,6477769,10833026,4764126,1.67,170.34,6471756
4/5/20,cancer.gov,6379560,8520110,5658027,1.34,61.18,6367535
4/5/20,home.treasury.gov,6369539,10682707,4860331,1.68,113.74,6333462
4/5/20,osha.gov,6289368,14675193,4287113,2.33,152.39,6307407
4/5/20,sec.gov,6084934,43127671,3004386,7.09,323.87,6131032
4/5/20,nih.gov,6024806,8516102,5223102,1.41,81.73,5876491
4/5/20,clinicaltrials.gov,5982717,18713777,4110738,3.13,214.35,5982717
4/5/20,petitions.whitehouse.gov,5878495,9450087,3896282,1.61,82.26,5878495
4/5/20,cisa.gov,5780286,12987606,4671931,2.25,97.66,5776278
4/5/20,pubchem.ncbi.nlm.nih.gov,5585873,9955160,3946388,1.78,178.7,5395468
4/5/20,fema.gov,5423528,10466247,4411377,1.93,101.23,5339349
4/5/20,cns.usps.com,5397473,17022182,2058375,3.15,170.34,7848683
4/5/20,apps.irs.gov,5211077,21014668,3621698,4.03,221.44,4611803
4/5/20,benefits.gov,5108859,6676191,3882252,1.31,62.93,5100842
4/5/20,defense.gov,5000629,7982968,2615560,1.6,143.54,4988604
4/5/20,dhs.gov,4804212,7117128,4184895,1.48,45.78,4806216
4/5/20,medicare.gov,4509585,22834536,2830015,5.06,366.37,4505577
4/5/20,nhlbi.nih.gov,4341228,12017544,3393213,2.77,53.02,4347240
4/5/20,healthcare.gov,4140802,13522744,2817990,3.27,179.44,4134789
4/5/20,hhs.gov,4058627,6145062,3585621,1.51,74.14,3974448
4/5/20,bop.gov,3964427,8355761,2759866,2.11,117.12,3964427
4/5/20,ceac.state.gov,3922337,60891429,1404986,15.52,816.48,4162848
4/5/20,search.usa.gov,3800077,8506080,2787926,2.24,91.9,3739950
4/5/20,about.usps.com,3731932,7109111,2793939,1.9,106.92,3739950
4/5/20,opm.gov,3681826,10329957,2312916,2.81,168.45,3671805
4/5/20,state.gov,3679822,5265192,3090569,1.43,71.96,3567583
4/5/20,consumer.ftc.gov,3589630,4812229,3088565,1.34,56.65,3581613
4/5/20,mars.nasa.gov,3555558,5128902,3323063,1.44,33.49,3569587
4/5/20,cbp.gov,3413255,6616063,2537393,1.94,85.82,3407242
4/5/20,bls.gov,3409247,8327701,2182639,2.44,140.06,3427285
4/5/20,water.weather.gov,3363149,5411503,871853,1.61,124.64,3361144
4/5/20,drugabuse.gov,3345110,5172996,2757862,1.55,103.89,3345110
4/5/20,eauth.va.gov,3136667,26193676,1326820,8.35,268.94,3341102
4/5/20,usgs.gov,3134663,5473635,2473257,1.75,85.07,3026433
4/5/20,apod.nasa.gov,3132659,8065143,1853941,2.57,132.28,3178757
4/5/20,niddk.nih.gov,3128650,3878243,2834024,1.24,56.92,3146689
4/5/20,faq.usps.com,3106603,4128776,2591508,1.33,77.26,2992360
4/5/20,uspto.gov,3086561,6758365,1144433,2.19,189.93,2850058
4/5/20,publichealth.va.gov,3070527,3535515,2190656,1.15,50.35,3046475
4/5/20,fs.usda.gov,3058501,8600280,2168610,2.81,165.6,3060505
4/5/20,sba.gov,2809973,4856322,2160592,1.73,98.3,2785922
4/5/20,tsa.gov,2689717,4669926,2104473,1.74,81.27,2689717
4/5/20,ghr.nlm.nih.gov,2685709,4587752,2168610,1.71,157.88,2575474
4/5/20,hud.gov,2671679,5812355,1715647,2.18,135.45,2673683
4/5/20,energy.gov,2603534,3936367,2110486,1.51,77.43,2607543
4/5/20,waterdata.usgs.gov,2531381,4832271,741576,1.91,89.71,2547415
4/5/20,archives.gov,2469249,4591760,1920081,1.86,94.64,2437180
4/5/20,ftc.gov,2455219,3643745,2202682,1.48,43.09,2457223
4/5/20,aviationweather.gov,2421146,18836037,733559,7.78,4230.43,2421146
4/5/20,nasasearch.nasa.gov,2302895,5409498,1709634,2.35,180.31,1222599
4/5/20,spc.noaa.gov,2292874,18246785,625329,7.96,1462.96,2312916
4/5/20,ebenefits.va.gov,2266818,4365279,1120381,1.93,138.8,2521359
4/5/20,postcalc.usps.com,2244771,12532639,1805838,5.58,186.38,2561445
4/5/20,espanol.cdc.gov,2176627,3417264,1813855,1.57,72.85,2182639
4/5/20,fns.usda.gov,2102469,5363400,1609421,2.55,125.35,2094452
4/5/20,accessdata.fda.gov,2074409,14087945,1517225,6.79,309.95,2324942
4/5/20,consumerfinance.gov,2024303,3844171,1543280,1.9,88.77,2018290
4/5/20,beta.sam.gov,2018290,14667176,1092322,7.27,247.39,2024303
4/5/20,my.uscis.gov,2008269,8596272,1132407,4.28,170.09,1976201
4/5/20,nhtsa.gov,1916073,2763875,1425029,1.44,81,1916073
4/5/20,mobile.weather.gov,1914068,2862084,328699,1.5,88.53,1906051
4/5/20,ttp.cbp.dhs.gov,1906051,3128650,773644,1.64,145.06,1908056
4/5/20,sam.gov,1902043,26406128,637355,13.88,289.43,1890017
4/5/20,solarsystem.nasa.gov,1865966,4190908,1621446,2.25,147.2,1914068
4/5/20,faa.gov,1861958,4623828,1262684,2.48,146.64,1859953
